unnamed:_0.1,unnamed:_0,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,data_group,food_name,calories
541,541,17.0,4.9,7.2,3.6,0.0,0.0,8.3,0.0,46.6,0.043,34.3,0.087,0.022,0.084,0.026,0.063,2.9,0.5,0.1,0.9,0.0,0.2,0.03,7.7,0.066,0.6,8.9,0.024,66.7,85.0,0.009,0.7,34.564,group3,chicken back raw,188
542,542,6.5,1.8,2.6,1.4,0.0,0.0,8.0,0.0,28.1,0.091,21.9,0.005,0.026,0.035,0.052,0.035,1.6,0.3,0.048,0.0,0.084,0.074,0.051,6.5,0.052,0.4,5.8,0.016,43.2,52.2,0.055,0.7,21.425,group3,chicken back cooked,93
543,543,25.5,6.8,10.4,6.1,13.8,0.0,34.4,0.5,142.2,0.4,82.3,0.07,0.2,0.089,0.056,0.3,8.6,1.6,0.4,0.0,0.0,0.0,0.0,28.4,0.1,2.2,31.6,0.043,240.2,298.6,0.041,3.4,104.858,group3,chicken leg fried,431
544,544,66.2,17.8,24.9,13.5,0.9,0.0,88.0,0.0,381.0,0.3,298.5,0.1,0.3,0.4,0.011,0.9,1.8,0.0,0.052,0.0,0.068,1.2,0.036,399.2,0.5,4.1,22.7,0.0,376.5,140.6,0.033,3.1,558.5,group3,chicken feet cooked,975
545,545,10.8,2.8,4.4,2.8,10.9,0.0,9.1,0.0,41.0,0.5,31.6,0.092,0.075,0.071,0.088,0.1,1.3,0.3,0.1,0.0,0.0,0.0,0.0,9.0,0.01,1.4,9.6,0.028,149.8,166.4,0.013,0.9,41.229,group3,turkey steak fried,179
546,546,13.9,3.2,4.7,3.9,5.5,0.0,30.7,0.0,129.9,1.2,128.1,0.0,0.1,0.051,0.062,0.6,5.5,1.1,0.5,0.0,0.0,0.5,0.089,126.3,0.072,3.3,49.4,0.3,329.4,543.5,0.067,4.6,179.7,group3,turkey taco meat cooked,271
547,547,54.9,15.0,22.8,11.5,0.6,0.0,56.3,0.0,319.9,0.3,231.5,0.018,0.3,0.053,0.096,0.5,16.3,3.4,1.1,0.7,0.033,0.8,0.096,31.0,0.2,2.4,65.4,0.088,533.2,698.3,0.091,5.1,145.973,group3,chicken leg raw,736
548,548,138.6,39.7,57.4,29.7,0.0,0.0,171.1,0.0,690.0,0.6,607.1,0.4,0.6,0.039,0.069,1.1,62.6,8.4,3.2,14.7,0.054,2.8,0.054,101.2,0.4,8.3,184.0,0.2,1352.4,1738.8,0.1,12.1,434.3,group3,chicken meat raw,1978
549,549,6.9,1.9,2.7,1.5,0.0,0.0,7.5,0.0,26.6,0.085,23.5,0.065,0.05,0.078,0.079,0.035,1.3,0.2,0.033,0.0,0.087,0.1,0.032,10.3,0.065,0.9,4.9,0.095,46.4,41.0,0.054,1.0,25.616,group3,chicken neck cooked,94
550,550,11.3,3.0,4.6,2.7,6.0,0.0,15.8,0.2,61.9,0.2,38.0,0.028,0.049,0.065,0.061,0.2,3.7,1.2,0.2,0.0,0.0,0.0,0.0,12.2,0.063,1.0,14.4,0.004,105.8,133.9,0.018,1.7,46.519,group3,chicken drumstick fried,193
551,551,1.0,0.3,0.4,0.1,0.08,0.048,1.2,0.0,76.0,0.042,6.7,0.083,0.014,0.089,0.039,0.001,0.076,0.2,0.016,0.0,0.047,0.03,0.01,5.8,0.078,0.3,1.2,0.061,20.3,11.9,0.091,0.1,8.343,group3,quail egg,14
552,552,39.7,13.5,18.1,5.1,0.0,0.0,26.6,0.0,117.6,0.041,72.6,0.008,0.2,0.073,0.098,0.4,6.8,1.5,0.3,0.0,0.067,1.0,0.047,15.4,0.3,3.8,22.4,0.071,218.4,285.6,0.092,2.6,85.544,group3,duck meat cooked,472
553,553,14.3,4.2,6.6,3.1,0.0,0.0,20.2,0.0,119.9,0.039,50.5,0.073,0.017,0.005,0.069,0.08,0.1,5.4,0.8,0.5,0.0,0.094,0.6,0.024,15.3,0.092,0.7,16.2,0.095,125.0,180.2,0.032,35.155,group3,chicken wing roasted,216
554,554,63.9,17.9,22.2,15.8,0.0,0.0,113.7,0.0,389.6,0.2,271.8,0.3,1.0,0.098,0.02,1.4,35.9,0.0,2.8,10.4,0.003,3.2,0.074,68.0,2.7,20.1,99.7,0.0,1263.9,978.5,0.063,14.0,276.4,group3,quail meat cooked,1028
555,555,30.7,9.6,14.4,3.5,0.0,0.0,35.2,0.0,127.4,0.089,72.7,0.081,0.1,0.039,0.076,0.5,5.8,2.1,0.5,0.0,0.002,2.4,0.026,18.2,0.4,4.0,30.8,0.082,378.0,460.6,0.047,3.7,88.168,group3,goose meat cooked,427
